continent,location,date,population,new_vaccinations,rolling_vaccinations
Asia,Afghanistan,29/6/2020,38928341,,0
Asia,Afghanistan,30/6/2020,38928341,,0
Asia,Afghanistan,1/7/2020,38928341,,0
Asia,Afghanistan,2/7/2020,38928341,,0
Asia,Afghanistan,3/7/2020,38928341,,0
Asia,Afghanistan,4/7/2020,38928341,,0
Asia,Afghanistan,5/7/2020,38928341,,0
Asia,Afghanistan,6/7/2020,38928341,,0
Asia,Afghanistan,7/7/2020,38928341,,0
Asia,Afghanistan,8/7/2020,38928341,,0
Asia,Afghanistan,9/7/2020,38928341,,0
Asia,Afghanistan,10/7/2020,38928341,,0
Asia,Afghanistan,11/7/2020,38928341,,0
Asia,Afghanistan,12/7/2020,38928341,,0
Asia,Afghanistan,13/7/2020,38928341,,0
Asia,Afghanistan,14/7/2020,38928341,,0
Asia,Afghanistan,15/7/2020,38928341,,0
Asia,Afghanistan,16/7/2020,38928341,,0
Asia,Afghanistan,17/7/2020,38928341,,0
Asia,Afghanistan,18/7/2020,38928341,,0
Asia,Afghanistan,19/7/2020,38928341,,0
Asia,Afghanistan,20/7/2020,38928341,,0
Asia,Afghanistan,21/7/2020,38928341,,0
Asia,Afghanistan,22/7/2020,38928341,,0
Asia,Afghanistan,23/7/2020,38928341,,0
Asia,Afghanistan,24/7/2020,38928341,,0
Asia,Afghanistan,25/7/2020,38928341,,0
Asia,Afghanistan,26/7/2020,38928341,,0
Asia,Afghanistan,27/7/2020,38928341,,0
Asia,Afghanistan,28/7/2020,38928341,,0
Asia,Afghanistan,29/7/2020,38928341,,0
Asia,Afghanistan,30/7/2020,38928341,,0
Asia,Afghanistan,31/7/2020,38928341,,0
Asia,Afghanistan,1/8/2020,38928341,,0
Asia,Afghanistan,2/8/2020,38928341,,0
Asia,Afghanistan,3/8/2020,38928341,,0
Asia,Afghanistan,4/8/2020,38928341,,0
Asia,Afghanistan,5/8/2020,38928341,,0
Asia,Afghanistan,6/8/2020,38928341,,0
Asia,Afghanistan,7/8/2020,38928341,,0
Asia,Afghanistan,8/8/2020,38928341,,0
Asia,Afghanistan,9/8/2020,38928341,,0
Asia,Afghanistan,10/8/2020,38928341,,0
Asia,Afghanistan,11/8/2020,38928341,,0
Asia,Afghanistan,12/8/2020,38928341,,0
Asia,Afghanistan,13/8/2020,38928341,,0
Asia,Afghanistan,14/8/2020,38928341,,0
Asia,Afghanistan,15/8/2020,38928341,,0
Asia,Afghanistan,16/8/2020,38928341,,0
Asia,Afghanistan,17/8/2020,38928341,,0
Asia,Afghanistan,18/8/2020,38928341,,0
Asia,Afghanistan,19/8/2020,38928341,,0
Asia,Afghanistan,20/8/2020,38928341,,0
Asia,Afghanistan,21/8/2020,38928341,,0
